word,frequency,rank
bug,4637,1
error,2540,2
need,2225,3
useragent,2116,4
create,2088,5
rv,2088,6
change,1995,7
identifier,1988,8
work,1984,9
make,1888,10
add,1868,11
test,1856,12
code,1758,13
one,1686,14
actual,1646,15
like,1524,16
message,1505,17
crash,1470,18
fix,1433,19
patch,1419,20
go,1411,21
would,1360,22
problem,1356,23
link,1340,24
show,1314,25
set,1298,26
time,1294,27
text,1271,28
linux,1265,29
user,1231,30
call,1220,31
update,1200,32
version,1182,33
find,1181,34
url,1166,35
remove,1157,36
attachment,1152,37
load,1151,38
int,1146,39
list,1139,40
display,1137,41
run,1129,42
also,1121,43
check,1046,44
function,1043,45
mac,1023,46
button,1019,47
menu,1003,48
fail,996,49
return,994,50
name,984,51
select,982,52
start,959,53
search,946,54
tab,942,55
first,940,56
look,938,57
folder,929,58
event,925,59
right,919,60
follow,900,61
case,890,62
unsigned,882,63
object,871,64
browser,867,65
server,860,66
appear,833,67
type,825,68
instead,817,69
mail,806,70
image,783,71
support,763,72
seem,762,73
since,761,74
string,757,75
site,754,76
default,754,77
const,752,78
comment,750,79
think,750,80
view,749,81
extension,731,82
cause,724,83
could,721,84
dialog,704,85
value,704,86
way,698,87
move,690,88
data,683,89
leave,682,90
item,674,91
thunderbird,670,92
download,670,93
directory,668,94
attach,652,95
content,651,96
please,651,97
request,642,98
want,637,99
happen,634,100
rvb,623,101
two,611,102
still,606,103
email,602,104
bookmark,600,105
back,599,106
account,593,107
long,592,108
release,581,109
access,579,110
allow,573,111
bar,573,112
corrupt,568,113
issue,567,114
element,565,115
give,560,116
source,560,117
ie,559,118
assertion,557,119
even,554,120
end,552,121
sure,551,122
include,546,123
address,546,124
cant,543,125
macintosh,542,126
table,542,127
rva,541,128
box,538,129
option,536,130
warn,531,131
may,528,132
key,527,133
without,526,134
know,522,135
archive,522,136
debug,521,137
char,519,138
javascript,516,139
say,513,140
send,510,141
note,507,142
smozillawintalkbackzip,507,143
html,505,144
example,496,145
delete,490,146
save,488,147
field,486,148
trunk,483,149
frame,480,150
script,479,151
character,476,152
something,476,153
component,475,154
log,470,155
thing,469,156
read,469,157
icon,468,158
document,462,159
web,458,160
number,458,161
take,457,162
null,453,163
thread,452,164
come,451,165
wrong,451,166
break,450,167
place,450,168
enter,445,169
ppc,445,170
last,445,171
point,443,172
block,435,173
another,434,174
header,432,175
second,432,176
system,432,177
contain,431,178
method,430,179
property,427,180
size,425,181
help,425,182
print,423,183
probably,422,184
different,419,185
good,417,186
certificate,416,187
exist,414,188
info,411,189
top,411,190
information,409,191
part,408,192
copy,407,193
attribute,407,194
calendar,403,195
able,400,196
correct,399,197
stack,399,198
password,396,199
exception,395,200
byte,395,201
location,392,202
however,391,203
install,389,204
already,387,205
ok,386,206
font,385,207
j,384,208
correctly,383,209
form,383,210
date,383,211
bit,380,212
enable,373,213
profile,371,214
entry,371,215
leak,371,216
write,369,217
cache,368,218
possible,366,219
win,366,220
product,365,221
cannot,364,222
implement,362,223
render,361,224
style,356,225
branch,354,226
might,352,227
miss,352,228
tag,351,229
module,351,230
edit,349,231
failure,349,232
really,348,233
toolbar,347,234
define,345,235
manager,345,236
focus,344,237
scroll,340,238
either,339,239
provide,337,240
actually,336,241
old,336,242
process,336,243
reference,332,244
nothing,331,245
do,331,246
class,331,247
eg,330,248
require,327,249
tree,324,250
press,322,251
fine,321,252
every,317,253
seamonkey,317,254
client,314,255
etc,313,256
status,313,257
though,312,258
many,311,259
width,311,260
macho,310,261
least,310,262
output,310,263
disable,309,264
next,309,265
bad,309,266
handle,307,267
thanks,306,268
command,305,269
group,302,270
available,300,271
preference,299,272
theme,299,273
var,299,274
notice,298,275
switch,298,276
via,298,277
around,297,278
order,297,279
flag,297,280
control,296,281
background,294,282
lot,294,283
main,292,284
regression,292,285
nss,292,286
track,291,287
empty,289,288
input,288,289
variable,286,290
interface,283,291
mark,283,292
much,281,293
mean,277,294
security,277,295
filter,277,296
reason,276,297
border,275,298
cv,273,299
thats,273,300
color,271,301
mode,270,302
instal,270,303
let,269,304
never,268,305
local,267,306
application,266,307
bytes,266,308
base,265,309
static,265,310
must,263,311
state,263,312
due,262,313
memory,261,314
column,261,315
small,260,316
root,259,317
put,258,318
screen,258,319
platform,256,320
console,255,321
space,255,322
match,254,323
day,254,324
