true_label,pred_label,text_length,text_processed,component_name,product_name,confidence
normal,blocker,30,appearance pref pane leak font map table every load setupfontregionpopup call every pane load create retain mregionmappingtable mregionmappingtable release dealloc need release whenever pane unload since right array everything leak,Preferences,CAMINO_GRAVEYARD,0.30090885013009283
minor,normal,34,remove lot redundant nsisupportsarray includeforward definition content create attachment fix check nsisupportsarray obsolete go away either case include forward definition patch attach redundant successfully compile ff sm tb linux patch affect anything compilation speed,Layout,CORE,0.3172073086906552
major,normal,91,view fullscreen flash screw commandw shortcut tab str least one tab tab youtube video two tab put youtube video fullscreen mode press esc exit fullscreen mode hit commandw youtube tab er youtube tab ar depend pref set either whole warn whole pressing esc warn dialog prefs set warn return commandw shortcut normal behaviour almost like shift key event insert somewhere happen trunk flash instal similar bug though file camino happen minefield cmdw totally fails work execute str youtube tab must mouse possible root cause widgetcocoa coreplugins let someone smarter make call,Plug-ins,CAMINO_GRAVEYARD,0.277627448481216
normal,major,31,block image longer block background image useragent rva identifier rva blocking image site longer block background image regression visit httpmozillazineorg block image site refresh actual background image render header block image,Image Blocking,CORE,0.24101241967265685
normal,blocker,32,meta mozmill track bug track bug able handle update go special release otherwise hard track possible test update bug target release checkedin would nice depends list hope fetch relate bug initial list,Mozmill,TESTING_GRAVEYARD,0.3387544319083945
normal,major,85,javascript onkeydown event fire certain command key combination useragent macintosh ppc mac macho de rv identifier macintosh ppc mac macho de rv javascript event onkeydown fire certain key commandkey involve eg commanda commandn commandb onkeyup fire nd key release onkeypress event autokeyrepeat come onkeydown onkeypress event first touch example httpunixpapacomjstestkeyhtml press commandkey key mention actual keydown event fire commandkey akey onkeyup event fire release akey cmda behave like ctrla fire keydown keypress event javascript keyboard event become important webapplications really need standardize least work reliable,User events and focus handling,CORE,0.25073033735250666
normal,minor,100,testrunaddcases case time run set index value useragent linux rv fedorafc identifier testopia add case run call testrunaddcases array caseids one runid java apache xmlrpc public stafresult addcasestorun int runid vector caseids vector params vector paramsaddcaseids paramsaddrunid string errorstring string vector xmlrpcresult vector object resobj resobj executetestrunaddcases params oddly find index column set first case index next case index next three case respectively spate pattern mostly repeat index continue fact seem pretty consistent insofar similar pattern single bunch bunch second time add case test run time testrunaddcases actual index field populate nonuseful manner accord gregary index populate test add api,API,TESTOPIA,0.23795707548088338
major,normal,39,previewproduction remora database update please run follow query db update set status versionid select vid version inner join addons aid vaddonid astatus astatus astatus status query run set sandboxed addon also sandboxed due migration issue miss couple related status,WebOps: Other,INFRASTRUCTURE_&_OPERATIONS_GRAVEYARD,0.2591720723404158
normal,major,73,createuserpl api brokenmissing useragent linux rvpre shiretokopre identifier acfdebd like testsloaddataloaddatapl createusercreateuserpl mean first createuserpl rename createuserpl run version createuserpl compare loaddatapl create user work first change adminprefix adminprefix user adminprefix weaveadmin request create user req put protocolserverloginserveradminprefixusername httpheadersnewxweavesecret secret reqcontentpassword password req post protocolserverloginserveradminprefix function create user username pas password secret adminsecret reqcontenttypeapplicationxwwwformurlencoded print add user uarequestreqcontent notice secret wrong header version adminsecret wrong deletepart version delete user work think thats regard,Server: Sync,CLOUD_SERVICES,0.2648208799951203
major,normal,79,caret track broken screen reader cairorelated windoweyes cannot track caret arrow text eg location bar read incorrect character none jaw usually work fine heard problem text field problem eg httpftpmozillaorgpubmozillaorgfirefoxnightlylatesttrunk break first time appear introduction cairo however able find exact code cause problem sometimes seem character thats several character position away character several time row could ask windoweyes jaws update code either caret move event iaccessibletext adapt caret draw code would help user version screen reader would better fix,Disability Access APIs,CORE,0.27421516086250025
normal,minor,21,set message email account james burke useragent macintosh intel mac rv identifier track bug request gozer momo email setup james burke,Server Operations,MOZILLA_MESSAGING,0.2293685131283408
normal,major,184,option change precedence order junk control normal filter useragent rv identifier rv junk mail filter train enough start recognize certain mail come junk however discover problem way filter interact filter email account forward email folder local folder call composite inbox also set filter email account send mail mark junk junk folder local folder problem begin seem filter send email composite inbox run junk mail filter junk mail filter intelligent enough move email composite inbox junk folder also discover seem impossible create filter anything local folder otherwise manually move email base junk status also appear way defer run inbox filter junk mail filter run incoming email add local folder filter process suggest fix issue implement mail filter local folder allow order normal filter versus junk mail filter end user decide filter junk mail first run rest standard userdefined filter create filter account inbox forward email give folder local folder filter email jan st train junk control recognize email set option automatically move mail trash send know junk email account actual email flag properly junk delete appear give local folder folder sent email select trash folder,Filters,MAILNEWS_CORE,0.3464996636750389
critical,normal,59,thread subject slow thread large helper useragent rv buildid upgrade one pop account folder pop dialog show wish compact local offline folder total waste space account exceed purge threshhold answer ok cpu time grab wait quite long time disappear alttab task switch remain task manager btwwhat waste space purge thershold described description actual hang complete compaction normal cpu time,Backend,MAILNEWS_CORE,0.22858245472996405
minor,normal,31,stylezindex yet implement zindex yet implement return zindex return null string omit personal opinion except say hope implement soon nsimethodimp nscomputeddomstylegetzindexnsawritablestring azindex return nserrordomnotsupportederr httplxrmozillaorgmozillasourcecontenthtmlstylesrcnscomputeddomstyle cpp attach also notice thing implement,DOM: CSS Object Model,CORE,0.3717092273429065
major,trivial,16,beursboxnl part display useragent rv identifier rv wwwbeursboxnl selection button leave panel miss ie show allright,Dutch,TECH_EVANGELISM_GRAVEYARD,0.3119008424645273
minor,normal,26,javascript animation finish bottom picture hover animate javascript however last frame explosion show work fine ns ie winnt ns linux flicker explosion flicker explosion system linux,DOM: Core & HTML,CORE,0.3156058636954009
